32	82270
33	163
34	1886
35	1
36	2
37	1
39	777
40	22
41	22
42	28
44	5420
45	1127
46	4281
47	24
48	23
49	64
50	12
51	14
52	9
53	15
54	8
55	12
56	20
57	11
58	76
59	277
63	269
64	2
65	1027
66	311
67	569
68	357
69	395
70	302
71	233
72	523
73	1052
74	233
75	186
76	220
77	397
78	264
79	261
80	576
81	31
82	147
83	480
84	1713
85	76
86	48
87	373
88	63
89	170
90	14
91	1
93	1
95	2
97	31476
98	5871
99	9001
100	17423
101	49603
102	9513
103	8187
104	26501
105	23460
106	509
107	3012
108	15328
109	8354
110	27092
111	28448
112	6256
113	351
114	24250
115	22062
116	35254
117	10711
118	3018
119	8518
120	399
121	6547
122	918
