97	00
116	01
57	0200
100	0201
51	0202
108	021
121	0220
65	02210
83	02211
84	02212
49	0222
114	10
110	110
50	1110
98	1111
46	1112
104	112
107	12000
48	12001
56	12002
109	1201
73	12020
119	12021
33	120220
34	120221
35	120222
36	121000
37	121001
38	121002
39	121010
40	121011
41	121012
42	121020
43	121021
47	121022
58	121100
59	121101
60	121102
61	121110
62	121111
63	121112
64	121120
66	121121
68	121122
69	121200
70	121201
71	121202
72	121210
74	121211
75	121212
76	121220
77	121221
78	121222
79	122000
80	122001
81	122002
82	122010
85	122011
86	122012
87	122020
88	122021
89	122022
90	122100
91	122101
92	122102
93	122110
94	122111
95	122112
96	122120
102	122121
106	122122
112	1222
32	20
115	210
99	211
111	212
113	220000
118	220001
120	220002
122	220010
123	220011
124	220012
52	22002
67	2201
53	22020
103	22021
125	220220
126	220221
45	220222
117	2210
105	2211
44	22120
54	22121
55	22122
101	222
