32	1285884
33	8840
34	488
35	3
36	2
37	1
38	21
39	31077
40	643
41	644
42	73
44	83315
45	8150
46	78216
47	48
48	325
49	982
50	373
51	343
52	107
53	94
54	73
55	45
56	47
57	966
58	1843
59	17199
60	468
62	440
63	10476
64	3
65	44560
66	15450
67	21526
68	15726
69	42703
70	11770
71	11261
72	18486
73	55893
74	2071
75	6206
76	23919
77	15887
78	27393
79	33268
80	12038
81	1179
82	29040
83	34082
84	39878
85	14169
86	3587
87	16508
88	608
89	9128
90	532
91	2076
93	2068
95	71
96	1
97	245509
98	46768
99	67194
100	134216
101	406157
102	69104
103	57328
104	218875
105	199131
106	2788
107	29345
108	146533
109	95889
110	216805
111	282560
112	46849
113	2414
114	209907
115	215605
116	291243
117	115225
118	34077
119	73155
120	4681
121	85549
122	1098
124	33
125	2
126	1
