32	86
33	1
34	1
35	1
36	1
37	1
38	1
39	1
40	1
41	1
42	1
43	1
44	5
45	2
46	8
47	1
48	3
49	7
50	7
51	6
52	4
53	4
54	5
55	5
56	3
57	5
58	1
59	1
60	1
61	1
62	1
63	1
64	1
65	2
66	1
67	12
68	1
69	1
70	1
71	1
72	1
73	3
74	1
75	1
76	1
77	1
78	1
79	1
80	1
81	1
82	1
83	2
84	2
85	1
86	1
87	1
88	1
89	1
90	1
91	1
92	1
93	1
94	1
95	1
96	1
97	51
98	7
99	32
100	5
101	50
102	1
103	4
104	23
105	15
106	1
107	2
108	17
109	9
110	22
111	32
112	10
113	1
114	54
115	31
116	51
117	13
118	1
119	3
120	1
121	6
122	1
123	1
124	1
125	1
126	1
