32	0
115	10
98	110
46	111
112	112
44	113
105	12
104	13
110	20
111	21
97	22
103	230
102	231
121	232
99	233
116	30
119	310
109	311
66	31200
120	31201
49	312020
122	312021
54	3120220
50	3120221
56	3120222
88	31202230
90	312022310
128	3120223110
129	3120223111
35	3120223112
37	3120223113
38	312022312
91	3120223130
93	3120223131
36	3120223132
64	3120223133
81	31202232
57	31202233
59	312023
63	31203
77	31210
87	31211
83	31212
65	31213
107	3122
73	3123
117	313
101	32
108	330
100	331
118	3320
70	332100
68	332101
71	332102
82	332103
45	33211
84	33212
72	33213
34	3322
80	332300
33	332301
76	332302
58	3323030
75	3323031
85	3323032
86	3323033
78	332310
69	332311
67	332312
79	332313
39	33232
113	332330
106	332331
55	33233200
40	33233201
41	33233202
47	33233203
48	3323321
51	33233220
42	33233221
53	33233222
52	33233223
74	3323323
89	332333
114	333
